5
x  y  z
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 3
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 9
8 0 0
0 1 1
0 1 2
0 0 0
0 0 0
4 0 0
0 0 0
0 0 1
1 0 0
2 0 0
0 2 0
0 0 0
0 0 0
0 0 2
0 0 2
1 1 0
3 0 0
2 1 1
0 1 0
2 0 0
0 0 4
8 0 2
0 0 1
3 1 0
3 2 0
0 0 0
0 1 11
0 1 0
13 6 1
2 6 3
6 0 3
9 7 7
1 0 2
10 5 8
2 2 4
2 3 2
10 11 10
5 4 3
12 4 1
8 3 3
9 3 8
6 3 12
19 5 2
2 5 9
11 11 6
8 6 6
24 11 16
18 11 17
6 6 6
16 11 17
20 17 28
22 14 26
17 18 14
25 15 13
14 17 27
25 11 6
8 25 23
18 32 36
13 18 23
9 18 15
